id,count
Qui-Gon Jinn,76
Nute Gunray,29
Republic Captain,16
Rebel Pilot,20
Battle Droid,102
Yoda,66
Obi-Wan Kenobi,255
Dofine,2
Rune,16
Tey How,3
Chancellor Valorum,5
Sache,5
Queen,43
Padme Amidala,151
Eirtae,19
Yane,4
Rabe,14
Palpatine,94
Sio Bibble,12
Captain Panaka,33
Jar Jar Binks,69
Captain Tarpals,2
Bespin Guards,32
Gungan Warrior,10
Count Dooku,32
Boss Nass,5
Princess Leia,99
Queen Jamillia,9
Ric Olie,12
Darth Vader,97
Darth Maul,18
R2-D2,156
Anakin Skywalker,234
Gardulla,1
Watto,14
Luke Skywalker,220
Sebulba,10
Jabba the Hutt,9
Jira,2
Shmi,22
C-3PO,122
Seek,1
Wald,2
Amee,1
Kitster,10
Fode/Beed,10
Gasgano,2
Boles Roor,1
Ody Mandrell,3
Mawhonic,1
Tusken Raider,6
Fanta,2
Xelbree,1
Ben Quadrinaros,37
Terter,1
Sith Probe Droid,6
Greedo,2
Mace Windu,26
Aks Moe,1
Mas Amedda,12
Bail Organa,33
Lott Dod,1
Stormtrooper,26
Destroyer Droids,9
Bravo Two,4
Bravo Three,2
Rune Haako,4
Dorme,7
Captain Typho,11
Corde,1
Darsana,1
Orn Free Taa,3
Ask Aak,2
Plo Koon,7
Dar Wac,2
Zam Wessel,4
Elan Sleazebaggano,1
Dexter Jettster,1
Jocasta Nu,1
Ryoo,1
Pooja,1
Jobal,2
Ruwee,3
Sola,2
Jedi Child May,1
Jedi Child Jack,1
Taun We,9
Lama Su,7
Sifo-Dyas,1
Clone Troopers,30
Jango Fett,14
Boba Fett,22
Cliegg Lars,4
Owen Lars,16
Beru Lars,12
Jawa,3
Geonosian,6
Poggle the Lesser,2
Passel Argente,2
Wat Tambor,4
Sun Rit,2
Tessek,1
San Hill,1
Toonbuck Toora,1
Shu Mai,4
R4-D17,2
Red Leader,42
Odd Ball,3
Wedge Antilles,69
Clone Pilot,2
Buzz Droid,1
General Grievous,26
Bodyguard,4
Master Vos,2
Fang Zar,3
Mon Mothma,3
Terr Taneel,1
Giddean Danu,2
Motee,1
Darth Plagueis,1
Baron Papanoida,1
Agen Kolar,2
Clone Commander Gree,3
Chi Eekway,1
Bana Breemu,1
Clone Commander Cody,3
Tion Medon,2
R4-G9,1
Wrangler,1
Sweitt Concorkill,1
Maledee,1
Aayla Secura,2
Kit Fisto,2
Clone Commander Bacara,1
Barriss Offee,1
Stass Allie,1
Tarfful,3
Chewbacca,66
Shaak Ti,1
Clone Commander Appo,1
Zett Jukassa,1
Ponda Babba,4
Royal Guards,1
Captain Antilles,3
Clone Commander Thire,1
Worker Droid,1
Medical Droid,4
Tarkin,11
Rebel Trooper,9
Imperial Officer,4
Rebel Officer,2
Windy,1
Camie,2
Biggs Darklighter,27
Deak,2
Wormie,1
Fixer,3
Commander Tagge,1
Admiral Motti,2
Doctor Evezan,1
Bartender,1
Han Solo,117
General Dodonna,7
Lando Calrissian,48
Red Ten,8
Red Seven,1
Red Nine,1
Porkins,1
Red Eleven,1
Gold Five,8
Gold Two,1
Red Three,2
General Rieekan,6
Major Derlin,2
Zev,7
Flight Controller,8
Admiral Ozzel,2
Admiral Piett,9
General Veers,4
Hobbie,3
Dack Ralter,4
Janson,4
Captain Needa,4
Zuckuss,1
Lobot,2
Green Leader,1
Oola,1
Bib Fortuna,1
Red Two,1
Chief Chirpa,1
General Madine,1
Admiral Ackbar,1
Teebo,1
Walker Pilot,1
Salacious Crumb,1
EV-9D9,1
Nien Nunb,1
Shuttle Captain,1
Ewoks,1
Logray,1
Wicket,1
Moff Jerjerrod,1
Paploo,1
